Epoch	Time(sec)	Loss_PCE	Loss_V	MAE_val(PM)	MAE_test(PM)
0	160.68814436532557	0.6781725720815406	0.2560223374978588	3.149411201477051	3.6112189292907715
1	322.19867925159633	0.6598696703823423	0.255963803430196	3.073486328125	3.5674781799316406
2	482.986440544948	0.6970199804806175	0.256046333405248	3.0248849391937256	3.5408644676208496
3	644.3796418411657	0.6466133762037196	0.2561033366896713	3.1155614852905273	3.60986065864563
4	805.8587310183793	0.6660210274144734	0.2562209719795802	3.007716655731201	3.628134250640869
5	965.6707393527031	0.6701344030087931	0.25618599145815474	3.032320499420166	3.5970022678375244
6	1127.609216437675	0.6861451996562438	0.2560900455822527	3.0660996437072754	3.631439685821533
7	1289.4420143170282	0.668520069717147	0.2559863124991143	3.0306992530822754	3.569770336151123
8	1453.544482409954	0.6854706347717044	0.2561689274131402	3.04020094871521	3.553741216659546
9	1616.694281468168	0.6654755901659093	0.2560123240389309	3.10841965675354	3.5921120643615723
10	1776.6646910384297	0.6851013715543961	0.25610077162624134	3.00233793258667	3.6086266040802
11	1938.6035093776882	0.6894033880194919	0.2559611745133177	3.0636868476867676	3.6462926864624023
12	2101.1316445199773	0.677659696207027	0.2559747922930358	3.017383575439453	3.548325300216675
13	2263.9424750246108	0.6621609653086381	0.25612646074256196	3.067754030227661	3.6365885734558105
14	2426.0954113332555	0.6580139193418313	0.25577112692436715	3.0721278190612793	3.6211631298065186
15	2588.394362672232	0.6770159466203507	0.2559876829203666	3.05704927444458	3.591310739517212
16	2750.3559153303504	0.6749749819761381	0.2561527276961721	2.9977927207946777	3.6028881072998047
17	2915.0403651790693	0.6692620569236896	0.25624630759544137	2.9687488079071045	3.5986716747283936
18	3077.382671125233	0.654486504385282	0.255988827183873	3.0453710556030273	3.608859062194824
19	3236.8513085646555	0.6763313021169418	0.25592490041328786	3.04841947555542	3.632256507873535
20	3398.784916139208	0.6767942353081557	0.2559195029759844	2.9976069927215576	3.591505289077759
21	3560.424558165483	0.6868717979996365	0.2560610982405435	3.0854990482330322	3.625246286392212
22	3723.820398750715	0.6703115426110153	0.25596779220701477	3.0165553092956543	3.5270426273345947
23	3886.268340760842	0.6883244082301309	0.25608490622941926	3.03104305267334	3.62851881980896
24	4048.638865450397	0.6543614843712319	0.25598670545275004	3.074491262435913	3.581970453262329
25	4210.4454348878935	0.6861148860813887	0.2562304712118782	3.0005924701690674	3.613398551940918
26	4373.72871670872	0.6691674563404013	0.2561112154282766	3.047900676727295	3.5883216857910156
27	4536.119757292792	0.6405386852513991	0.25615170324892717	3.102187156677246	3.6020009517669678
28	4697.44859147165	0.6726770843483523	0.25644389857099886	3.0428919792175293	3.6205434799194336
29	4861.065870102495	0.6639654985391924	0.2561646302945745	3.085308790206909	3.609651565551758
30	5025.425660538487	0.6993198815406947	0.25600618366796957	3.1007580757141113	3.6331851482391357
31	5186.342059337534	0.6697137151254898	0.2557874501601256	3.0767250061035156	3.5787742137908936
32	5350.1600977461785	0.6810545419966859	0.25590881104381896	3.0332272052764893	3.579335927963257
33	5511.26911372412	0.6453479111437399	0.25633620754521635	3.0785582065582275	3.594332456588745
34	5674.4849212970585	0.68528244275668	0.2558598838852768	3.0294125080108643	3.568023681640625
35	5838.290675985627	0.6849179129493698	0.2560626087509202	3.070312976837158	3.628316879272461
36	6001.359404022805	0.6520638342969529	0.2561506325504202	3.1094465255737305	3.5585145950317383
37	6164.658218660392	0.6571927162118696	0.2561248304159238	3.0374248027801514	3.598862648010254
38	6327.252467099577	0.6661459330750095	0.2560079644022551	3.1076695919036865	3.626838207244873
39	6489.616612824611	0.6833014216903757	0.25585088212718304	2.990912914276123	3.599039316177368
40	6651.866912614554	0.6673945469550349	0.2561116455285952	3.0053162574768066	3.626938581466675
41	6815.438400913961	0.6790093781991792	0.2561929369167009	3.0991697311401367	3.6144301891326904
42	6976.75562095549	0.6676186261254755	0.2559712435708755	3.051868200302124	3.597001791000366
43	7140.081168471836	0.6822106499535975	0.2561412456079316	3.018529176712036	3.628715991973877
